latitude,longitude,branchfreeway
34.06067,-118.17366,0
34.06034,-118.17432,0
34.06022,-118.17451,0
34.06014,-118.17456,0
34.05975,-118.17548,0
34.05848,-118.17833,0
34.05787,-118.1797,0
34.05715,-118.18127,0
34.05616,-118.18336,0
34.05588,-118.18412,0
34.05564,-118.18493,0
34.05549,-118.18573,0
34.05541,-118.18648,0
34.05538,-118.18706,0
34.0554,-118.18798,0
34.05552,-118.1927,0
34.05561,-118.19615,0
34.05561,-118.19708,0
34.05556,-118.19788,0
34.0555,-118.19849,0
34.05557,-118.19868,0
34.05556,-118.19883,0
34.05529,-118.20067,0
34.05519,-118.20137,0
34.05507,-118.20206,0
34.05485,-118.20291,0
34.05473,-118.20329,0
34.05416,-118.20477,0
34.05406,-118.2051,0
34.05398,-118.20543,0
34.05393,-118.20577,0
34.0539,-118.20654,0
34.05393,-118.20704,0
34.054,-118.20756,0
34.05413,-118.20817,0
34.05422,-118.20848,0
34.0546,-118.20959,0
34.05541,-118.21151,0
34.05547,-118.21166,0
34.05628,-118.21342,0
34.0563,-118.21359,0
34.05639,-118.21392,0
34.05642,-118.21414,0
34.05643,-118.21443,0
34.05642,-118.21463,0
34.05636,-118.215,0
34.05627,-118.21523,0
34.05608,-118.21553,0
34.05585,-118.21573,0
34.05562,-118.21585,0
34.05536,-118.21592,0
34.05511,-118.2159,0
34.05502,-118.21588,0
34.05469,-118.2157,0
34.05426,-118.2154,0
34.05363,-118.21491,0
34.0533,-118.21466,0
34.05289,-118.21436,0
34.05274,-118.2143,0
34.05248,-118.21427,0
34.05237,-118.21425,0
34.05226,-118.21423,0
34.05214,-118.21419,0
34.05198,-118.21412,0
34.05145,-118.2141,0
34.05072,-118.21409,0
34.04985,-118.21416,0
34.04968,-118.21419,0
34.04907,-118.21427,0
34.04744,-118.21472,0
34.04676,-118.21498,0
34.04611,-118.21529,0
34.0457,-118.21552,0
34.04555,-118.2156,0
34.0448,-118.21607,0
34.04338,-118.21701,0
34.04247,-118.2176,0
34.04077,-118.21874,0
34.0402,-118.21913,0
34.03983,-118.21936,0
34.0396,-118.21949,0
34.03926,-118.21961,0
34.03873,-118.21978,0
34.03788,-118.22002,0
34.03726,-118.22024,0
34.03648,-118.22057,0
34.03587,-118.22082,0
34.03575,-118.22094,0
34.03506,-118.22124,0
34.03461,-118.2215,101
34.03431,-118.22164,0
34.03393,-118.22179,0
34.03387,-118.22182,0
34.03182,-118.22265,0
34.03134,-118.22291,0
34.0312,-118.22294,0
34.03098,-118.22308,0
34.03063,-118.22336,0
34.03039,-118.22361,0
34.03027,-118.22378,0
34.03018,-118.22392,0
34.02993,-118.22435,0
34.02972,-118.22481,0
34.02957,-118.22526,0
34.02942,-118.22593,0
34.02892,-118.22831,0
34.02864,-118.22948,0
34.02847,-118.22978,0
34.02826,-118.23053,0
34.02803,-118.23125,0
34.02766,-118.23221,0
34.02709,-118.23366,0
34.02647,-118.23516,0
34.0262,-118.23577,0
34.02523,-118.23814,0
34.02479,-118.23923,0
34.02432,-118.24037,0
34.02405,-118.24111,0
34.024,-118.24129,0
34.02396,-118.24146,0
34.02384,-118.24212,0
34.0238,-118.2425,0
34.02377,-118.24323,0
34.02382,-118.24399,0
34.02391,-118.24468,0
34.02397,-118.24488,0
34.02423,-118.24576,0
34.02443,-118.24634,0
34.02456,-118.2466,0
34.02464,-118.24676,0
34.02496,-118.24735,0
34.02597,-118.24916,0
34.02687,-118.2508,0
34.02777,-118.2525,0
34.0297,-118.25609,0
34.03001,-118.25666,0
34.03048,-118.25766,0
34.03095,-118.25883,0
34.03129,-118.25988,0
34.03158,-118.26084,0
34.03183,-118.26163,0
34.03201,-118.2621,0
34.03215,-118.26244,0
34.03224,-118.26264,0
34.03261,-118.26338,0
34.03298,-118.26404,0
34.03309,-118.26426,0
34.03371,-118.26536,0
34.03429,-118.26638,0
