latitude,longitude,
34.06067,-118.17366,index 0
34.06034,-118.17432,
34.06022,-118.17451,
34.06014,-118.17456,
34.05975,-118.17548,
34.05848,-118.17833,
34.05787,-118.1797,
34.05715,-118.18127,
34.05616,-118.18336,
34.05588,-118.18412,
34.05564,-118.18493,
34.05549,-118.18573,
34.05541,-118.18648,
34.05538,-118.18706,
34.0554,-118.18798,
34.05552,-118.1927,
34.05561,-118.19615,
34.05561,-118.19708,
34.05556,-118.19788,
34.0555,-118.19849,
34.05557,-118.19868,
34.05556,-118.19883,
34.05529,-118.20067,
34.05519,-118.20137,
34.05507,-118.20206,
34.05485,-118.20291,
34.05473,-118.20329,
34.05416,-118.20477,
34.05406,-118.2051,
34.05398,-118.20543,
34.05393,-118.20577,
34.0539,-118.20654,
34.05393,-118.20704,
34.054,-118.20756,
34.05413,-118.20817,
34.05422,-118.20848,
34.0546,-118.20959,
34.05541,-118.21151,
34.05547,-118.21166,
34.05628,-118.21342,
34.0563,-118.21359,
34.05639,-118.21392,
34.05642,-118.21414,
34.05643,-118.21443,
34.05642,-118.21463,
34.05636,-118.215,
34.05627,-118.21523,
34.05608,-118.21553,
34.05585,-118.21573,
34.05562,-118.21585,
34.05536,-118.21592,
34.05511,-118.2159,
34.05502,-118.21588,
34.05469,-118.2157,
34.05426,-118.2154,
34.05363,-118.21491,
34.0533,-118.21466,
34.05289,-118.21436,
34.05274,-118.2143,
34.05248,-118.21427,
34.05237,-118.21425,
34.05226,-118.21423,
34.05214,-118.21419,
34.05198,-118.21412,
34.05145,-118.2141,
34.05072,-118.21409,
34.04985,-118.21416,
34.04968,-118.21419,
34.04907,-118.21427,
34.04744,-118.21472,
34.04676,-118.21498,
34.04611,-118.21529,
34.0457,-118.21552,
34.04555,-118.2156,
34.0448,-118.21607,
34.04338,-118.21701,
34.04247,-118.2176,
34.04077,-118.21874,
34.0402,-118.21913,
34.03983,-118.21936,
34.0396,-118.21949,
34.03926,-118.21961,
34.03873,-118.21978,
34.03788,-118.22002,
34.03726,-118.22024,
34.03648,-118.22057,
34.03587,-118.22082,
34.03575,-118.22094,
34.03506,-118.22124,
34.03461,-118.2215,
34.03431,-118.22164,
34.03393,-118.22179,
34.03387,-118.22182,
34.03182,-118.22265,
34.03134,-118.22291,
34.0312,-118.22294,
34.03098,-118.22308,
34.03063,-118.22336,
34.03039,-118.22361,
34.03027,-118.22378,
34.03018,-118.22392,
34.02993,-118.22435,
34.02972,-118.22481,
34.02957,-118.22526,
34.02942,-118.22593,
34.02892,-118.22831,
34.02864,-118.22948,
34.02847,-118.22978,
34.02826,-118.23053,
34.02803,-118.23125,
34.02766,-118.23221,
34.02709,-118.23366,
34.02647,-118.23516,
34.0262,-118.23577,
34.02523,-118.23814,
34.02479,-118.23923,
34.02432,-118.24037,
34.02405,-118.24111,
34.024,-118.24129,
34.02396,-118.24146,
34.02384,-118.24212,
34.0238,-118.2425,
34.02377,-118.24323,
34.02382,-118.24399,
34.02391,-118.24468,
34.02397,-118.24488,
34.02423,-118.24576,
34.02443,-118.24634,
34.02456,-118.2466,
34.02464,-118.24676,
34.02496,-118.24735,
34.02597,-118.24916,
34.02687,-118.2508,
34.02777,-118.2525,
34.0297,-118.25609,
34.03001,-118.25666,
34.03048,-118.25766,
34.03095,-118.25883,
34.03129,-118.25988,
34.03158,-118.26084,
34.03183,-118.26163,
34.03201,-118.2621,
34.03215,-118.26244,
34.03224,-118.26264,
34.03261,-118.26338,
34.03298,-118.26404,
34.03309,-118.26426,
34.03371,-118.26536,
34.03429,-118.26638,
34.03434,-118.26649,
34.03435,-118.26653,
34.03442,-118.26667,
34.03475,-118.26727,
34.03549,-118.26853,
34.03603,-118.26932,
34.03609,-118.26941,
34.03646,-118.26992,
34.0369,-118.27054,
34.03721,-118.27105,
34.0378,-118.27211,
34.03808,-118.2728,
34.03826,-118.27336,
34.03833,-118.2737,
34.03836,-118.27388,
34.03842,-118.27426,
34.03847,-118.2749,
34.03845,-118.27546,
34.03843,-118.27567,
34.03818,-118.27895,
34.03813,-118.2794,
34.03805,-118.27983,
34.038,-118.28013,
34.03767,-118.28167,
34.03726,-118.2837,
34.03715,-118.28432,
34.03704,-118.28518,
34.03698,-118.28637,
34.03698,-118.28739,
34.03704,-118.29112,
34.03708,-118.29529,
34.03708,-118.29655,
34.03715,-118.30018,
34.03716,-118.30072,
34.03719,-118.30278,
34.03721,-118.30394,
34.03721,-118.30497,
